PING 10.49.189.55 (10.49.189.55) 56(84) bytes of data.
64 bytes from 10.49.189.55: icmp_seq=1 ttl=62 time=45.6 ms
64 bytes from 10.49.189.55: icmp_seq=2 ttl=62 time=43.9 ms
64 bytes from 10.49.189.55: icmp_seq=3 ttl=62 time=40.8 ms
64 bytes from 10.49.189.55: icmp_seq=4 ttl=62 time=43.8 ms
64 bytes from 10.49.189.55: icmp_seq=5 ttl=62 time=40.2 ms
64 bytes from 10.49.189.55: icmp_seq=6 ttl=62 time=39.8 ms
64 bytes from 10.49.189.55: icmp_seq=7 ttl=62 time=40.7 ms
64 bytes from 10.49.189.55: icmp_seq=8 ttl=62 time=40.6 ms
64 bytes from 10.49.189.55: icmp_seq=9 ttl=62 time=39.1 ms
64 bytes from 10.49.189.55: icmp_seq=10 ttl=62 time=42.3 ms
64 bytes from 10.49.189.55: icmp_seq=11 ttl=62 time=39.9 ms
64 bytes from 10.49.189.55: icmp_seq=12 ttl=62 time=42.5 ms
64 bytes from 10.49.189.55: icmp_seq=13 ttl=62 time=44.1 ms
64 bytes from 10.49.189.55: icmp_seq=14 ttl=62 time=40.4 ms
64 bytes from 10.49.189.55: icmp_seq=15 ttl=62 time=40.7 ms
64 bytes from 10.49.189.55: icmp_seq=16 ttl=62 time=42.6 ms
64 bytes from 10.49.189.55: icmp_seq=17 ttl=62 time=45.4 ms
64 bytes from 10.49.189.55: icmp_seq=18 ttl=62 time=45.5 ms
64 bytes from 10.49.189.55: icmp_seq=19 ttl=62 time=40.9 ms
64 bytes from 10.49.189.55: icmp_seq=20 ttl=62 time=44.1 ms
64 bytes from 10.49.189.55: icmp_seq=22 ttl=62 time=40.7 ms
64 bytes from 10.49.189.55: icmp_seq=23 ttl=62 time=42.7 ms
64 bytes from 10.49.189.55: icmp_seq=24 ttl=62 time=45.8 ms
64 bytes from 10.49.189.55: icmp_seq=25 ttl=62 time=43.2 ms
64 bytes from 10.49.189.55: icmp_seq=26 ttl=62 time=45.9 ms
64 bytes from 10.49.189.55: icmp_seq=27 ttl=62 time=43.1 ms
64 bytes from 10.49.189.55: icmp_seq=28 ttl=62 time=48.0 ms
64 bytes from 10.49.189.55: icmp_seq=29 ttl=62 time=44.1 ms
64 bytes from 10.49.189.55: icmp_seq=30 ttl=62 time=42.0 ms
64 bytes from 10.49.189.55: icmp_seq=31 ttl=62 time=39.8 ms
64 bytes from 10.49.189.55: icmp_seq=32 ttl=62 time=45.0 ms
64 bytes from 10.49.189.55: icmp_seq=33 ttl=62 time=63.1 ms
64 bytes from 10.49.189.55: icmp_seq=34 ttl=62 time=88.7 ms
64 bytes from 10.49.189.55: icmp_seq=35 ttl=62 time=111 ms
64 bytes from 10.49.189.55: icmp_seq=36 ttl=62 time=133 ms
64 bytes from 10.49.189.55: icmp_seq=37 ttl=62 time=39.5 ms
64 bytes from 10.49.189.55: icmp_seq=38 ttl=62 time=42.2 ms
64 bytes from 10.49.189.55: icmp_seq=39 ttl=62 time=44.9 ms
64 bytes from 10.49.189.55: icmp_seq=40 ttl=62 time=43.7 ms
64 bytes from 10.49.189.55: icmp_seq=41 ttl=62 time=45.1 ms
64 bytes from 10.49.189.55: icmp_seq=42 ttl=62 time=42.2 ms
64 bytes from 10.49.189.55: icmp_seq=43 ttl=62 time=43.8 ms
64 bytes from 10.49.189.55: icmp_seq=44 ttl=62 time=42.6 ms
64 bytes from 10.49.189.55: icmp_seq=45 ttl=62 time=44.4 ms
64 bytes from 10.49.189.55: icmp_seq=46 ttl=62 time=45.4 ms
64 bytes from 10.49.189.55: icmp_seq=47 ttl=62 time=48.2 ms
64 bytes from 10.49.189.55: icmp_seq=48 ttl=62 time=38.7 ms
64 bytes from 10.49.189.55: icmp_seq=49 ttl=62 time=40.5 ms
64 bytes from 10.49.189.55: icmp_seq=50 ttl=62 time=43.3 ms
64 bytes from 10.49.189.55: icmp_seq=51 ttl=62 time=41.1 ms
64 bytes from 10.49.189.55: icmp_seq=52 ttl=62 time=39.9 ms
64 bytes from 10.49.189.55: icmp_seq=53 ttl=62 time=40.8 ms
64 bytes from 10.49.189.55: icmp_seq=54 ttl=62 time=39.9 ms
64 bytes from 10.49.189.55: icmp_seq=55 ttl=62 time=42.9 ms
64 bytes from 10.49.189.55: icmp_seq=56 ttl=62 time=45.1 ms
64 bytes from 10.49.189.55: icmp_seq=57 ttl=62 time=41.2 ms
64 bytes from 10.49.189.55: icmp_seq=58 ttl=62 time=42.4 ms
64 bytes from 10.49.189.55: icmp_seq=59 ttl=62 time=42.7 ms
64 bytes from 10.49.189.55: icmp_seq=60 ttl=62 time=40.5 ms
64 bytes from 10.49.189.55: icmp_seq=61 ttl=62 time=43.0 ms
64 bytes from 10.49.189.55: icmp_seq=62 ttl=62 time=40.6 ms
64 bytes from 10.49.189.55: icmp_seq=63 ttl=62 time=43.8 ms
64 bytes from 10.49.189.55: icmp_seq=64 ttl=62 time=42.3 ms
64 bytes from 10.49.189.55: icmp_seq=65 ttl=62 time=43.5 ms
64 bytes from 10.49.189.55: icmp_seq=66 ttl=62 time=44.3 ms
64 bytes from 10.49.189.55: icmp_seq=67 ttl=62 time=41.9 ms
64 bytes from 10.49.189.55: icmp_seq=68 ttl=62 time=40.9 ms

--- 10.49.189.55 ping statistics ---
68 packets transmitted, 67 received, 1.47059% packet loss, time 67120ms
rtt min/avg/max/mdev = 38.748/45.979/133.307/14.954 ms
